model_level,solver_type,nodes,fbs_seconds_median,fbs_seconds_min,fbs_seconds_max,total_seconds_median,fbs_iterations_median,state_dimension_median,degree_classes_median,matrix_nonzeros_median,converged_runs,repeats,all_runs_converged
node,sparse,1000,0.13892458400000018,0.13892458400000018,0.13892458400000018,0.14123925100000023,19.0,1000.0,,5988.0,1.0,1,True
node,sparse,2000,0.19256445899999997,0.19256445899999997,0.19256445899999997,0.19510529300000012,19.0,2000.0,,11988.0,1.0,1,True
node,sparse,3000,0.24070833299999994,0.24070833299999994,0.24070833299999994,0.24359216700000008,19.0,3000.0,,17988.0,1.0,1,True
node,sparse,4000,0.27904020899999993,0.27904020899999993,0.27904020899999993,0.28273004299999993,18.0,4000.0,,23988.0,1.0,1,True
node,sparse,5000,0.33732354200000003,0.33732354200000003,0.33732354200000003,0.34187837500000007,18.0,5000.0,,29988.0,1.0,1,True
node,sparse,6000,0.3950909170000001,0.3950909170000001,0.3950909170000001,0.41856291700000003,18.0,6000.0,,35988.0,1.0,1,True
node,sparse,7000,0.4613273339999999,0.4613273339999999,0.4613273339999999,0.4676272509999997,19.0,7000.0,,41988.0,1.0,1,True
node,sparse,8000,0.523973791,0.523973791,0.523973791,0.5314298740000001,19.0,8000.0,,47988.0,1.0,1,True
node,sparse,9000,0.5547492079999996,0.5547492079999996,0.5547492079999996,0.5627474579999996,18.0,9000.0,,53988.0,1.0,1,True
node,sparse,10000,0.6511977079999998,0.6511977079999998,0.6511977079999998,0.6607091660000002,19.0,10000.0,,59988.0,1.0,1,True
