scenario,sample_type,sample_id,metric,value,better
computed FBS control,computed,computed,cost,30.41514185354341,lower
no control,deterministic,no control,cost,34.90489831583417,lower
constant mean control,deterministic,constant mean control,cost,30.609939662013197,lower
random smooth control,random,random_001,cost,32.64762260185945,lower
random smooth control,random,random_002,cost,32.15688957012474,lower
random smooth control,random,random_003,cost,32.445859628347364,lower
random smooth control,random,random_004,cost,33.510373711478294,lower
random smooth control,random,random_005,cost,34.05263363899539,lower
random smooth control,random,random_006,cost,32.60523563695277,lower
random smooth control,random,random_007,cost,32.103211434377585,lower
random smooth control,random,random_008,cost,33.12852210979787,lower
random smooth control,random,random_009,cost,32.47230726494617,lower
random smooth control,random,random_010,cost,32.30306354359867,lower
random smooth control,random,random_011,cost,32.17483525331025,lower
random smooth control,random,random_012,cost,32.31816834681308,lower
random smooth control,random,random_013,cost,32.96149144177049,lower
random smooth control,random,random_014,cost,33.38775969878691,lower
random smooth control,random,random_015,cost,32.91003964752802,lower
random smooth control,random,random_016,cost,32.85375061405905,lower
random smooth control,random,random_017,cost,32.7980831740887,lower
random smooth control,random,random_018,cost,32.909874304724475,lower
random smooth control,random,random_019,cost,32.876955354849756,lower
random smooth control,random,random_020,cost,33.03731083105915,lower
random smooth control,random,random_021,cost,31.892620941649348,lower
random smooth control,random,random_022,cost,33.476069975197774,lower
random smooth control,random,random_023,cost,33.316986635998035,lower
random smooth control,random,random_024,cost,32.460309760137406,lower
random smooth control,random,random_025,cost,32.65506581649796,lower
random smooth control,random,random_026,cost,32.40454617547276,lower
random smooth control,random,random_027,cost,32.90717023162555,lower
random smooth control,random,random_028,cost,33.71325756113042,lower
random smooth control,random,random_029,cost,32.072991047159555,lower
random smooth control,random,random_030,cost,32.55650690195897,lower
random smooth control,random,random_031,cost,32.18687453501969,lower
random smooth control,random,random_032,cost,32.935146703486964,lower
random smooth control,random,random_033,cost,31.62345861039615,lower
random smooth control,random,random_034,cost,33.31614382307767,lower
random smooth control,random,random_035,cost,32.908910566528675,lower
random smooth control,random,random_036,cost,32.71387755632185,lower
random smooth control,random,random_037,cost,33.84359086099055,lower
random smooth control,random,random_038,cost,33.15439985331296,lower
random smooth control,random,random_039,cost,32.967724262285316,lower
random smooth control,random,random_040,cost,32.57800354551354,lower
random smooth control,random,random_041,cost,33.26470911370377,lower
random smooth control,random,random_042,cost,32.696886901316105,lower
random smooth control,random,random_043,cost,32.994870495641955,lower
random smooth control,random,random_044,cost,33.580240566584315,lower
random smooth control,random,random_045,cost,33.507599499590654,lower
random smooth control,random,random_046,cost,33.33434315208348,lower
random smooth control,random,random_047,cost,32.39124540417203,lower
random smooth control,random,random_048,cost,32.35623277652232,lower
random smooth control,random,random_049,cost,33.65844882962939,lower
random smooth control,random,random_050,cost,32.05011206262345,lower
random smooth control,random,random_051,cost,33.16206035084555,lower
random smooth control,random,random_052,cost,33.20527509023749,lower
random smooth control,random,random_053,cost,32.948454459790995,lower
random smooth control,random,random_054,cost,32.341724393885436,lower
random smooth control,random,random_055,cost,32.7977356809718,lower
random smooth control,random,random_056,cost,33.268754022916895,lower
random smooth control,random,random_057,cost,32.93816126350865,lower
random smooth control,random,random_058,cost,31.71620280367712,lower
random smooth control,random,random_059,cost,32.65592691294947,lower
random smooth control,random,random_060,cost,32.60326448400729,lower
random smooth control,random,random_061,cost,33.537034898686045,lower
random smooth control,random,random_062,cost,32.92378176068311,lower
random smooth control,random,random_063,cost,32.37691890251362,lower
random smooth control,random,random_064,cost,33.43016729585082,lower
random smooth control,random,random_065,cost,32.947684586589915,lower
random smooth control,random,random_066,cost,32.45040715880604,lower
random smooth control,random,random_067,cost,32.65481221824533,lower
random smooth control,random,random_068,cost,32.170017164708334,lower
random smooth control,random,random_069,cost,33.815574181843154,lower
random smooth control,random,random_070,cost,32.2472286653878,lower
random smooth control,random,random_071,cost,33.16249147325027,lower
random smooth control,random,random_072,cost,32.92010452634461,lower
random smooth control,random,random_073,cost,33.21499783287868,lower
random smooth control,random,random_074,cost,33.05924014666502,lower
random smooth control,random,random_075,cost,33.66403432631014,lower
