iteration,J_red,J_blue
0,15.369719442625327,20.791366471955342
1,26.4012218070694,23.19660012983189
2,25.154698734400267,26.48825007172431
3,24.646367592020386,27.437846387328573
4,24.421060854659988,27.84562126191237
5,24.34061138185722,27.994616826671994
6,24.269515130034897,28.10193733654104
7,24.200920264850957,28.195055938094555
8,24.19601608642764,28.197282575719633
9,24.159655820561497,28.222773518002022
10,24.146594257763443,28.21059124727482
11,24.131411779148696,28.203668688684004
12,24.118702936095815,28.197451989821968
13,24.107842757787274,28.192250926230916
14,24.09853168388053,28.18784582722242
15,24.09071529012803,28.18401589978898
16,24.08400480832214,28.180839073958232
17,24.07824649768631,28.178119530921407
18,24.07340753162471,28.17586322792851
19,24.069264804873463,28.17390656745465
20,24.065722263388682,28.172215805819896
21,24.062779187516664,28.170764966541682
22,24.060354120068297,28.169589942517334
23,24.058371175560602,28.168586627585547
24,24.056815621759792,28.16774257408807
25,24.055489558123927,28.167019749095644
26,24.05436587970263,28.166578717237705
27,24.05340873353003,28.166201417579607
28,24.052593701182143,28.165878968886137
29,24.051899870806313,28.165603631328604
30,24.051309354640253,28.16536868918032
31,24.050806866765324,28.16516833577003
32,24.050379355453316,28.16499756476004
33,24.050015684360634,28.164852069923953
34,24.049706356999938,28.164728154370746
35,24.049443279264267,28.164622649381677
36,24.049219555208094,28.164532842549363
37,24.04902931175503,28.164456414632898
38,24.048874344987357,28.164446496031612
39,24.04874261871598,28.164437515896193
40,24.04863064835521,28.16442948269346
41,24.04853547150507,28.16442236342026
42,24.048454569796345,28.164416100521734
43,24.048385802398396,28.164410623474723
44,24.04832734946156,28.164405856549216
45,24.048277664017995,28.164401723859054
46,24.048235431080997,28.164398152512106
47,24.04819953286874,28.164395074446503
48,24.04816901923738,28.164392427373464
49,24.04814308254477,28.16439015512605
50,24.04812103628139,28.164388207624796
51,24.048102296904762,28.16438654060706
52,24.04808636839721,28.164385115221073
53,24.048072829139205,28.16438389755283
54,24.04806132075097,28.16438285813098
55,24.048051538607435,28.164381971438356
56,24.048043223775785,28.164381215447733
57,24.048036156161977,28.164380571191728
58,24.048030148685264,28.16438002237136
59,24.048025042326515,28.16437955500475
60,24.048020701919,28.164379157114844
